x,barcode_501,barcode_502,barcode_503,barcode_504,barcode_505,barcode_506,barcode_507,barcode_508,barcode_509,barcode_510,barcode_511,barcode_512
1,0.0746850548321803,0.0853002753585348,0.0849065367505135,0.0927498057299628,0.0861999576866361,0.0957683009062053,0.0985042346854913,0.0378855496163132,0.0144220429789879,0.0183124843660416,0.021650375650822,0.0178783157468446
2,0.149635962659738,0.167706002303465,0.176904100822642,0.174793781899505,0.162193804750868,0.181944969820568,0.180102601368595,0.112860982782778,0.0587079362003323,0.0580044760161243,0.100102988976069,0.0940204063266362
3,0.211815353010483,0.232963892630996,0.249424563648937,0.242016687157747,0.226793267402962,0.257497162968932,0.249191560042563,0.197816360143181,0.10602948926707,0.0981082080218532,0.171983047662166,0.163800706459379
4,0.274639738980695,0.299870089719788,0.313486370157819,0.308832811023593,0.292141962926494,0.334006545729651,0.319277118856678,0.275459141485327,0.154991173071606,0.140297205699726,0.241296123471449,0.232759803811281
5,0.328242349173741,0.35547521372724,0.357441449996387,0.360163880001313,0.344534179176416,0.389314671973422,0.371237012621872,0.344789594284337,0.21075443650638,0.184009199961925,0.303166924361564,0.294236956375008
6,0.380567052354914,0.409340725351086,0.404049214000392,0.416385446346811,0.400887308058787,0.445380984490897,0.424235031533051,0.408491804027963,0.265382133918802,0.22958066679801,0.359622929008615,0.350502283618692
7,0.425675961451316,0.452694877434216,0.45082212565672,0.458617745883847,0.443638122113823,0.489077841553871,0.465085256027614,0.471349101383371,0.318481957380234,0.274275525134978,0.411202573816775,0.402144126712714
8,0.473091447388296,0.502254608130686,0.487314595955947,0.503538815700667,0.489813773477156,0.534710458365541,0.511113994792072,0.517382825135967,0.368790722626478,0.316597342282414,0.458273714693307,0.448898407091592
9,0.513282076070209,0.543651295819003,0.513449211936047,0.543629584499258,0.53293204569207,0.568559117148825,0.548010692689004,0.561490470514811,0.422853591153693,0.356577109449884,0.499463432239767,0.490742907282831
10,0.542480589710281,0.570344574603902,0.535186771673049,0.572768265943824,0.564488907058537,0.588648586418433,0.566949555768948,0.602898902450761,0.472373013941111,0.397742290383206,0.536349929738988,0.529467399374536
11,0.571283344914051,0.59690810329389,0.556243097344219,0.589656078189586,0.587392208296283,0.607126293110537,0.591362798785394,0.641386029687485,0.518525914774647,0.435895789844181,0.57237818577097,0.564644970414201
12,0.607791305398628,0.628834635906817,0.576798819194286,0.622567064205791,0.620382315559069,0.628845616170255,0.619584230879032,0.671847615785989,0.55950555021187,0.470310421236948,0.604908874243466,0.59746777060319
13,0.637915772937373,0.658358388984377,0.594237379106758,0.652026792847944,0.650218009267581,0.649374208509448,0.643364217556426,0.699652153593163,0.599825824732888,0.506035538062739,0.633261007914508,0.624794418070961
14,0.664868130872179,0.681550017059735,0.613544171836132,0.680734979186656,0.678105061219166,0.670447181882473,0.661569472199874,0.722920879828996,0.636016231149722,0.539543676575737,0.657912158785616,0.650913166242941
15,0.687862904443974,0.701882337488006,0.628216508572195,0.703737281240993,0.701746460232596,0.689956087693042,0.681210799961935,0.742120829874557,0.663053573665267,0.570682094385942,0.68165061056606,0.675900229486805
16,0.700910848614845,0.71003737123104,0.622751153453134,0.713744468320303,0.714427743568289,0.695886716115981,0.688192191568694,0.760390249743227,0.6876508081307,0.598823219499669,0.703326346384655,0.696507638310797
17,0.717716987402193,0.729040153649742,0.662200798901768,0.737469126569209,0.738490685492402,0.710871174119698,0.703859230230204,0.782439405297552,0.713307982993688,0.626091056601017,0.723152391650685,0.716610794879294
18,0.735829733240688,0.745388665608376,0.678963285612543,0.754708996253233,0.755653049505045,0.723350821505518,0.718569463548831,0.802422468425222,0.737727969901001,0.651190615861744,0.739360742246729,0.734409521452516
19,0.751857949910879,0.758469397398911,0.705572701093071,0.774825521792903,0.774065725698051,0.729149877473151,0.72523076656891,0.819855022690323,0.763365056707402,0.677649361027668,0.753634779414591,0.75030935721196
20,0.771709313918009,0.776749744103979,0.736310807881672,0.794464124799802,0.794627475371554,0.741368024604049,0.73714498282768,0.839720602762107,0.791917275019674,0.702994636307087,0.767056714945307,0.764526852205998
21,0.786649950152563,0.789883337044293,0.765242612222991,0.813803570190768,0.812809496009659,0.751214578228048,0.750161341949772,0.863378793374986,0.810673611619877,0.724790311262427,0.77900615905043,0.776680372128603
22,0.801323222863358,0.801994947755564,0.758755406005182,0.822650609442436,0.823066509926938,0.757918194825913,0.760591039249782,0.873230954628688,0.827138728118789,0.742382250006088,0.792398196278088,0.790523826129997
23,0.81132745234283,0.813058946589415,0.761000381903946,0.831154711914864,0.832388175800892,0.764659638504679,0.768913342503439,0.882552349966896,0.85036761143554,0.760198875019093,0.805361246246695,0.802173093797107
24,0.832873629195493,0.833565868997256,0.806281803825233,0.849487236549764,0.850081842953791,0.778343173856553,0.784613255127906,0.897880187239023,0.860879573282412,0.777064733995807,0.81608726246866,0.81291060139042
25,0.841825020392133,0.839909206970624,0.85560934322843,0.862595447696669,0.864236140384924,0.775629491965857,0.786206777226995,0.91139170428002,0.87402070724139,0.79186082290516,0.828217164188667,0.824727203185817
26,0.860066161143168,0.857952479428203,0.882399388953686,0.883224554273394,0.88181686585232,0.786836175846586,0.80228387532117,0.920449165081718,0.883619253338753,0.802127767902404,0.840029663387819,0.836987310729633
27,0.86205401649497,0.857375812339715,0.864883416079188,0.882177502617629,0.884024796267516,0.780359521734125,0.797330288166238,0.929749638779837,0.886442216114403,0.817682034617181,0.851743925305497,0.849512903008077
28,0.863615902842814,0.855149236636942,0.854375896700143,0.884107434066756,0.887756644073027,0.773705244807,0.793392333445797,0.93815048195412,0.893517938634532,0.835110162681714,0.862957924545225,0.860552736967624
29,0.865330352557325,0.856570080268855,0.843316164858644,0.878788265724928,0.888222727366725,0.779801983454764,0.799956744785584,0.944855384795633,0.905653488113779,0.852266010833641,0.873850517027084,0.872005984655882
30,0.873612579680372,0.866125133554496,0.853028911160885,0.892239413651073,0.899066719903029,0.786295084124139,0.809431366951286,0.95314035427096,0.922168233928964,0.867215948961905,0.884954533223421,0.88205475060184
31,0.880784568442041,0.872183341689667,0.860197351444526,0.897593240497185,0.906376114901462,0.791206026018453,0.814701582275743,0.963119332850741,0.927085081191198,0.876827651242637,0.894006244474153,0.891612763516098
32,0.886349355004381,0.875329381027973,0.863619004366091,0.905172508144748,0.914029107140301,0.793015147278917,0.817530473298556,0.964043425599912,0.932107095337917,0.891763200595031,0.900191989817492,0.898836816883029
33,0.898622398114861,0.886624046697219,0.856858272349122,0.91087292003371,0.922941955927291,0.803603440619706,0.830235394876852,0.962508742831522,0.9430704476328,0.905226667493099,0.907473828306859,0.907829831034715
34,0.909597897344491,0.897960360545079,0.890723862803588,0.928207644571566,0.936967404393273,0.812137559002023,0.841784537125951,0.966164236162186,0.948393782628321,0.916042599631205,0.912375281364388,0.91262796139222
35,0.920804507416694,0.908627099829082,0.870704870823571,0.933853332506394,0.944252938472233,0.819020443070243,0.8519668145995,0.96727662367216,0.949223301200321,0.917929742927917,0.91946464952782,0.919736708889239
36,0.917781940122655,0.90268903067068,0.856342185935613,0.925900117838915,0.935421216811449,0.815563376807065,0.848151704688,0.967614910498833,0.953571774626185,0.92267250482024,0.925106886433431,0.9258062973879
37,0.918245672336183,0.902227696999889,0.8513103434039,0.919971689474395,0.931267826095256,0.821151916846208,0.856086441220489,0.967683147232662,0.962080839066307,0.926057187636278,0.928318284520794,0.929810785879812
38,0.920017522129241,0.902652188051138,0.826667217158841,0.916739327916878,0.928412469398371,0.823610677104748,0.85883920306593,0.972174218681351,0.968160430309805,0.934190166489205,0.932925292683031,0.93302472607825
39,0.919377058094922,0.899632695101694,0.811401381047243,0.914201960576863,0.926665850092978,0.816160386823019,0.853366553338005,0.975828424526471,0.971629755847397,0.940175897250858,0.938845423637598,0.938748959434832
40,0.920722938884022,0.90150686313928,0.814152121631246,0.912222777569016,0.925685961666638,0.816502475206815,0.854174560743298,0.980750803632383,0.973871346632415,0.946012206109253,0.942706042019929,0.942788602155376
41,0.928050512069122,0.910490054895503,0.842490426597029,0.920332867571679,0.933066939423488,0.826414815058467,0.863756455840752,0.986279910300882,0.977497831671539,0.948695159394432,0.947368575602131,0.947880621864243
42,0.925103471194224,0.907566673127474,0.850556857240176,0.920416777634685,0.931404628700232,0.819910201799253,0.855676381787825,0.987578017600571,0.981872301405928,0.955958170721719,0.951438749055,0.953515704097014
43,0.923147336938461,0.903904837115575,0.851449686735547,0.91717711954995,0.931264644639326,0.816837984967847,0.850885434239098,0.994921513271884,0.983609327475498,0.968864902676534,0.955370375907093,0.958017132764866
44,0.929462856107066,0.910307443650815,0.857653045425926,0.928587063986895,0.940234759633051,0.823252142164038,0.857262983052607,0.99577060998812,0.985177377539662,0.977715106665102,0.957012380033059,0.95917947218035
45,0.939104558774659,0.92017325642303,0.878874518749419,0.937072925141279,0.948794466811847,0.83205269476835,0.865521268588928,0.997472022134452,0.989352148358569,0.979809226968551,0.962883926245158,0.96299975251423
46,0.943865744237334,0.922817915764957,0.861374028467327,0.934601226546225,0.948908999225315,0.839382925184613,0.869611481664115,0.994743196524047,0.992881738065922,0.986416995579325,0.969073141927245,0.970325331293451
47,0.952678166822755,0.93232010790082,0.846061744578512,0.94044574484774,0.95546279844045,0.847703238327056,0.877727890097151,0.993937874316305,0.995630256867161,0.994984958195072,0.971057107894433,0.972971460391028
48,0.954996827890396,0.93647531464398,0.82689945604492,0.934296596534879,0.95034701730553,0.852308274262783,0.882335435536754,0.992080676419155,1,0.999832868834133,0.976815467673528,0.980326287488469
49,0.953421346787106,0.934030886930001,0.808449366761971,0.929395154376275,0.947951380990483,0.859131950726115,0.886975854939313,0.992937819920041,0.994201641548718,0.9966440947357,0.979744166627514,0.982929106576372
50,0.957326062656717,0.938274195589458,0.806003117161938,0.931894214948395,0.949696409567911,0.868430834004901,0.894836192503006,0.994575501531947,0.993713619938696,0.995712144790931,0.980186501343288,0.982993790357054
51,0.957442373342195,0.939445150149693,0.819591672429632,0.930500578249782,0.948829462827074,0.870894528230515,0.897978251278192,1,0.995180048069538,1,0.980928619937043,0.983009539451482
52,0.958181021721398,0.942192328085129,0.831053951673668,0.935974797794989,0.953048073389825,0.873078630988602,0.903367850994437,0.992516490275783,0.994553773364182,0.996766952745046,0.98129727669171,0.98326883704187
53,0.959928703060331,0.944417301934878,0.840328024524426,0.93820023859644,0.954936267484089,0.878206667434173,0.907423459898091,0.990126595234823,0.995894946553953,0.993903586347044,0.981527386845601,0.983900488221927
54,0.966455696202532,0.954289522119187,0.848575085412301,0.944037460370737,0.960115677737603,0.889518609279147,0.918801311498101,0.990440097964775,0.995592444054762,0.993538332805745,0.981776450388037,0.982235583953923
55,0.969283405335186,0.957286589126301,0.847682255916931,0.943840454135854,0.959463479272019,0.901733467098663,0.928691183722198,0.988472498182231,0.9959752987803,0.991710958270336,0.986143471278409,0.985192757666434
56,0.97918189782786,0.970865497207169,0.892623060805301,0.957871675975819,0.969106472194871,0.921295001891354,0.947514122827507,0.988454795256002,0.994579769672706,0.993033618821404,0.990571890469702,0.989527414673656
